stream,mfe_bucket,n_trades,win_pct,avg_r,total_r,tp_hits,be_hits,sl_hits
S1,0-1R,536,0.0,-1.0153,-544.21,0,0,536
S1,1-2R,167,0.0,-1.0134,-169.23,0,0,167
S1,2-3.5R,122,0.0,-1.0153,-123.87,0,0,122
S1,3.5-6.5R,123,0.0,-1.0162,-124.99,0,0,123
S1,6.5-10R,55,0.0,-1.0177,-55.97,0,0,55
S1,<=0R,4,0.0,-1.0252,-4.1,0,0,4
S1,>10R,150,89.33,10.593,1588.96,134,0,16
S2,0-1R,1181,0.0,-1.0191,-1203.5,0,0,1181
S2,1-2R,414,0.0,-1.0177,-421.32,0,0,414
S2,2-3.5R,870,75.17,1.9886,1730.06,654,0,216
S2,3.5-6.5R,142,100.0,2.9768,422.71,142,0,0
S2,6.5-10R,5,100.0,2.9761,14.88,5,0,0
S2,<=0R,18,0.0,-1.0307,-18.55,0,0,18
S2,>10R,5,100.0,2.9664,14.83,5,0,0
S3,0-1R,133,0.0,-0.8619,-114.63,0,0,133
S3,1-2R,48,0.0,-0.8525,-40.92,0,0,48
S3,2-3.5R,25,0.0,-0.9403,-23.51,0,0,25
S3,3.5-6.5R,97,86.6,3.517,341.15,84,0,13
S3,6.5-10R,5,100.0,4.2281,21.14,5,0,0
S3,<=0R,1,0.0,-0.8719,-0.87,0,0,1
S3,>10R,1,100.0,4.2321,4.23,1,0,0
S4,0-1R,200,0.0,-1.0159,-203.18,0,0,200
S4,1-2R,48,0.0,-1.0178,-48.85,0,0,48
S4,2-3.5R,37,0.0,-1.017,-37.63,0,0,37
S4,3.5-6.5R,48,100.0,0.9848,47.27,0,48,0
S4,6.5-10R,19,100.0,0.9787,18.6,0,19,0
S4,<=0R,5,0.0,-1.0118,-5.06,0,0,5
S4,>10R,36,100.0,14.8522,534.68,27,9,0
S5,0-1R,422,0.0,-1.0129,-427.43,0,0,422
S5,1-2R,138,0.0,-1.0129,-139.78,0,0,138
S5,2-3.5R,69,0.0,-1.0132,-69.91,0,0,69
S5,3.5-6.5R,212,78.77,3.7126,787.08,167,0,45
S5,6.5-10R,5,100.0,4.9835,24.92,5,0,0
S5,<=0R,5,0.0,-1.0361,-5.18,0,0,5
S5,>10R,4,100.0,4.972,19.89,4,0,0
