stream,n_trades,baseline_total_r,managed_total_r,saved_r,saved_per_trade,n_improved,n_worse,n_unchanged,avg_save_improved,avg_hurt_worse,baseline_win_pct,managed_win_pct
S1,1157,566.58,566.58,0.0,0.0,0,0,1157,0.0,0.0,11.58,11.58
S2,2635,539.11,539.11,0.0,0.0,0,0,2635,0.0,0.0,30.59,30.59
S3,310,186.6,186.6,0.0,0.0,0,0,310,0.0,0.0,29.03,29.03
S4,393,442.82,305.82,-137.0,-0.3486,61,14,318,2.0,-18.5,10.69,26.21
S5,855,189.58,189.58,0.0,0.0,0,0,855,0.0,0.0,20.58,20.58
