stream,n_trades,win_pct,avg_r,median_r,total_r,best_r,worst_r,maxDD_r,mcl,baseline_total_r,saved_r,sl_hits,be_hits,tp_hits
S1,1157,11.58,0.4897,-1.0113,566.58,11.99,-1.12,98.22,97,566.58,0.0,1023,0,134
S2,2635,30.59,0.2046,-1.0118,539.11,3.0,-1.21,103.82,38,539.11,0.0,1829,0,806
S3,310,29.03,0.6019,-0.7433,186.6,4.24,-1.79,21.86,25,186.6,0.0,220,0,90
S4,393,26.21,0.7782,-1.0113,305.82,19.49,-1.08,47.88,16,442.82,-137.0,290,76,27
S5,855,20.58,0.2217,-1.0095,189.58,5.0,-1.08,89.9,46,189.58,0.0,679,0,176
