stream,year,n_trades,win_pct,avg_r,median_r,total_r,best_r,worst_r,maxDD_r,mcl,baseline_total_r,saved_r,sl_hits,be_hits,tp_hits
S1,2022,137,23.36,-0.2235,-1.0094,-30.62,11.99,-1.03,41.66,17,-73.62,43.0,105,28,4
S1,2023,213,30.99,0.8444,-1.0097,179.85,11.99,-1.04,46.92,11,264.85,-85.0,147,42,24
S1,2024,288,31.6,0.9941,-1.0084,286.29,11.99,-1.04,44.2,26,319.29,-33.0,197,55,36
S1,2025,326,29.14,0.4383,-1.01,142.9,11.99,-1.12,45.77,26,108.9,34.0,231,69,26
S1,2026,99,22.22,0.2058,-1.011,20.37,11.99,-1.07,34.04,24,-9.63,30.0,77,15,7
S2,2022,523,34.23,0.3545,-1.0098,185.38,3.0,-1.06,48.02,35,185.38,0.0,344,0,179
S2,2023,471,25.48,-0.0027,-1.0146,-1.27,2.99,-1.1,54.47,27,-1.27,0.0,351,0,120
S2,2024,759,31.23,0.2329,-1.0112,176.78,3.0,-1.05,45.02,31,176.78,0.0,522,0,237
S2,2025,1017,32.25,0.27,-1.0109,274.57,3.0,-1.21,119.14,39,274.57,0.0,689,0,328
S2,2026,156,21.79,-0.1458,-1.014,-22.74,2.99,-1.08,43.2,20,-22.74,0.0,122,0,34
S3,2022,67,31.34,0.7224,-0.6686,48.4,4.24,-1.47,14.37,18,48.4,0.0,46,0,21
S3,2023,35,25.71,0.5041,-0.648,17.64,4.24,-1.46,5.63,6,17.64,0.0,26,0,9
S3,2024,83,25.3,0.3783,-0.7926,31.4,4.24,-1.79,17.42,19,31.4,0.0,62,0,21
S3,2025,152,30.92,0.709,-0.7261,107.77,4.25,-1.36,26.51,30,107.77,0.0,105,0,47
S3,2026,17,17.65,0.0429,-0.8282,0.73,4.24,-1.15,6.87,9,0.73,0.0,14,0,3
S4,2022,49,14.29,-0.35,-1.011,-17.15,19.48,-1.04,27.41,16,11.85,-29.0,42,6,1
S4,2023,121,27.27,1.6673,-1.0114,201.75,19.49,-1.05,15.32,13,204.75,-3.0,88,19,14
S4,2024,139,24.46,0.2742,-1.0115,38.11,19.49,-1.03,51.06,17,64.11,-26.0,105,28,6
S4,2025,91,30.77,0.4091,-1.0095,37.23,19.49,-1.08,34.1,14,134.73,-97.5,63,24,4
S4,2026,17,29.41,2.8323,-1.0133,48.15,19.49,-1.02,9.13,9,44.15,4.0,12,2,3
S5,2022,181,19.89,0.1826,-1.0089,33.05,4.99,-1.05,30.83,30,33.05,0.0,145,0,36
S5,2023,135,17.78,0.0518,-1.0119,7.0,4.99,-1.03,46.62,46,7.0,0.0,111,0,24
S5,2024,194,15.46,-0.0839,-1.0086,-16.28,4.99,-1.03,22.21,18,-16.28,0.0,164,0,30
S5,2025,340,20.59,0.2216,-1.009,75.36,5.0,-1.08,107.05,50,75.36,0.0,270,0,70
S5,2026,81,38.27,1.2812,-1.0085,103.77,4.99,-1.07,25.35,25,103.77,0.0,50,0,31
