stream,reason,n,pct_of_stream,avg_r,total_r
S1,BE,209,19.66,0.9816,205.16
S1,SL,757,71.21,-1.0151,-768.41
S1,TP,97,9.13,11.9799,1162.05
S2,SL,2028,69.31,-1.0182,-2064.87
S2,TP,898,30.69,2.9817,2677.59
S3,SL,253,71.47,-0.8775,-222.0
S3,TP,101,28.53,4.2371,427.95
S4,BE,79,18.94,0.9831,77.66
S4,SL,310,74.34,-1.0159,-314.92
S4,TP,28,6.71,19.4763,545.34
S5,SL,740,79.48,-1.0127,-749.38
S5,TP,191,20.52,4.9858,952.28
