stream,mfe_bucket,n_trades,win_pct,avg_r,total_r,tp_hits,be_hits,sl_hits
S1,0-1R,483,0.0,-1.0154,-490.45,0,0,483
S1,1-2R,161,0.0,-1.0134,-163.16,0,0,161
S1,2-3.5R,109,0.0,-1.0156,-110.7,0,0,109
S1,3.5-6.5R,149,100.0,0.9836,146.56,0,149,0
S1,6.5-10R,48,100.0,0.9803,47.05,0,48,0
S1,<=0R,4,0.0,-1.0252,-4.1,0,0,4
S1,>10R,109,100.0,10.7669,1173.59,97,12,0
S2,0-1R,1315,0.0,-1.0183,-1339.04,0,0,1315
S2,1-2R,460,0.0,-1.0171,-467.88,0,0,460
S2,2-3.5R,968,76.14,2.0278,1962.92,737,0,231
S2,3.5-6.5R,149,100.0,2.9774,443.63,149,0,0
S2,6.5-10R,5,100.0,2.9761,14.88,5,0,0
S2,<=0R,22,0.0,-1.0272,-22.6,0,0,22
S2,>10R,7,100.0,2.9737,20.82,7,0,0
S3,0-1R,156,0.0,-0.8525,-132.99,0,0,156
S3,1-2R,54,0.0,-0.844,-45.57,0,0,54
S3,2-3.5R,29,0.0,-0.9585,-27.8,0,0,29
S3,3.5-6.5R,108,87.96,3.5908,387.81,95,0,13
S3,6.5-10R,5,100.0,4.2281,21.14,5,0,0
S3,<=0R,1,0.0,-0.8719,-0.87,0,0,1
S3,>10R,1,100.0,4.2321,4.23,1,0,0
S4,0-1R,212,0.0,-1.0155,-215.29,0,0,212
S4,1-2R,54,0.0,-1.0169,-54.91,0,0,54
S4,2-3.5R,39,0.0,-1.0167,-39.65,0,0,39
S4,3.5-6.5R,49,100.0,0.9848,48.25,0,49,0
S4,6.5-10R,19,100.0,0.9787,18.6,0,19,0
S4,<=0R,5,0.0,-1.0118,-5.06,0,0,5
S4,>10R,39,100.0,14.2603,556.15,28,11,0
S5,0-1R,463,0.0,-1.0125,-468.78,0,0,463
S5,1-2R,147,0.0,-1.0127,-148.87,0,0,147
S5,2-3.5R,72,0.0,-1.0129,-72.93,0,0,72
S5,3.5-6.5R,231,77.92,3.6619,845.9,180,0,51
S5,6.5-10R,7,100.0,4.9849,34.89,7,0,0
S5,<=0R,7,0.0,-1.0279,-7.2,0,0,7
S5,>10R,4,100.0,4.972,19.89,4,0,0
