stream,n_trades,win_pct,avg_r,median_r,total_r,best_r,worst_r,maxDD_r,mcl,baseline_total_r,saved_r,sl_hits,be_hits,tp_hits
S1,1063,28.79,0.5633,-1.0096,598.79,11.99,-1.12,50.93,26,609.79,-11.0,757,209,97
S2,2926,30.69,0.2094,-1.0113,612.73,3.0,-1.21,119.14,39,612.73,0.0,2028,0,898
S3,354,28.53,0.5818,-0.7308,205.95,4.25,-1.79,26.51,30,205.95,0.0,253,0,101
S4,417,25.66,0.7388,-1.0111,308.08,19.49,-1.08,51.06,17,459.58,-151.5,310,79,28
S5,931,20.52,0.2179,-1.0093,202.9,5.0,-1.08,107.05,50,202.9,0.0,740,0,191
