stream,sym,n_trades,win_pct,avg_r,median_r,total_r,best_r,worst_r,maxDD_r,mcl,baseline_total_r,saved_r,sl_hits,be_hits,tp_hits
S1,AVAXUSDT,147,21.09,0.0841,-1.0098,12.37,11.99,-1.03,19.27,15,-5.63,18.0,116,22,9
S1,BTCUSDT,153,30.07,1.0168,-1.0181,155.56,11.99,-1.05,21.83,17,181.56,-26.0,107,26,20
S1,DOGEUSDT,109,25.69,0.2093,-1.0082,22.82,11.99,-1.03,27.46,13,45.82,-23.0,81,21,7
S1,ETHUSDT,97,31.96,1.0969,-1.0132,106.4,11.99,-1.03,12.51,10,96.4,10.0,66,18,13
S1,LINKUSDT,109,35.78,0.6122,-1.0082,66.72,11.99,-1.02,11.22,9,19.72,47.0,70,30,9
S1,ONDOUSDT,35,11.43,-0.7832,-1.0106,-27.41,0.99,-1.02,28.4,16,-22.41,-5.0,31,4,0
S1,PAXGUSDT,55,47.27,1.4774,-1.0345,81.26,11.96,-1.12,7.0,5,71.26,10.0,29,18,8
S1,SOLUSDT,108,29.63,0.7016,-1.0088,75.77,11.99,-1.02,21.38,10,98.77,-23.0,76,21,11
S1,SUIUSDT,85,36.47,0.8846,-1.0071,75.19,11.99,-1.02,12.13,11,83.19,-8.0,54,22,9
S1,TAOUSDT,70,28.57,0.6622,-1.0065,46.35,11.99,-1.02,12.19,9,33.35,13.0,50,13,7
S1,XRPUSDT,95,18.95,-0.1711,-1.0112,-16.25,11.99,-1.04,32.6,11,7.75,-24.0,77,14,4
S2,AVAXUSDT,383,37.08,0.4687,-1.0097,179.51,3.0,-1.04,18.89,15,179.51,0.0,241,0,142
S2,BTCUSDT,340,27.94,0.0897,-1.0213,30.49,2.99,-1.07,45.09,31,30.49,0.0,245,0,95
S2,DOGEUSDT,318,28.62,0.1293,-1.0114,41.11,3.0,-1.04,29.91,14,41.11,0.0,227,0,91
S2,ETHUSDT,302,27.48,0.078,-1.0156,23.57,2.99,-1.1,25.45,11,23.57,0.0,219,0,83
S2,LINKUSDT,340,31.76,0.2559,-1.0106,87.0,3.0,-1.03,25.7,14,87.0,0.0,232,0,108
S2,ONDOUSDT,93,30.11,0.1903,-1.0121,17.7,2.99,-1.02,18.49,12,17.7,0.0,65,0,28
S2,PAXGUSDT,73,21.92,-0.2,-1.0565,-14.6,2.99,-1.21,19.19,10,-14.6,0.0,57,0,16
S2,SOLUSDT,341,27.57,0.0887,-1.0112,30.23,3.0,-1.03,43.88,23,30.23,0.0,247,0,94
S2,SUIUSDT,264,32.58,0.2905,-1.0087,76.69,2.99,-1.03,18.36,17,76.69,0.0,178,0,86
S2,TAOUSDT,198,32.32,0.2824,-1.0082,55.92,3.0,-1.02,20.27,20,55.92,0.0,134,0,64
S2,XRPUSDT,274,33.21,0.3106,-1.0131,85.11,3.0,-1.05,12.67,12,85.11,0.0,183,0,91
S3,AVAXUSDT,47,31.91,0.7351,-0.772,34.55,4.24,-1.43,9.07,10,34.55,0.0,32,0,15
