stream,n_trades,baseline_total_r,managed_total_r,saved_r,saved_per_trade,n_improved,n_worse,n_unchanged,avg_save_improved,avg_hurt_worse,baseline_win_pct,managed_win_pct
S1,1063,609.79,598.79,-11.0,-0.0103,176,33,854,2.0,-11.0,12.23,28.79
S2,2926,612.73,612.73,0.0,0.0,0,0,2926,0.0,0.0,30.69,30.69
S3,354,205.95,205.95,0.0,0.0,0,0,354,0.0,0.0,28.53,28.53
S4,417,459.58,308.08,-151.5,-0.3633,63,15,339,2.0,-18.5,10.55,25.66
S5,931,202.9,202.9,0.0,0.0,0,0,931,0.0,0.0,20.52,20.52
