symbol,n_trades,total_r,win_pct,max_dd_r,avg_hold_5m_bars
BTCUSDT,335,248.4794,51.64,23.1941,82.9
ETHUSDT,333,242.9907,46.85,28.2082,67.3
LINKUSDT,317,209.2456,49.53,12.541,176.3
SOLUSDT,356,295.8483,52.53,12.9277,115.2
XRPUSDT,244,256.0986,55.33,8.5167,271.5
