symbol,mfe1_r,lock1_r,total_r,win_pct,max_dd_r,delta_vs_base_r
SOLUSDT,1.0,0.8,233.45690822187743,53.96825396825397,14.645146177917326,34.19999999999999
SOLUSDT,1.25,0.8,213.65690822187744,50.476190476190474,16.445146177917337,14.400000000000006
SOLUSDT,1.5,0.8,211.85690822187743,47.61904761904761,18.24514617791735,12.599999999999994
SOLUSDT,1.25,1.2,208.45690822187748,50.476190476190474,10.576409594440747,9.200000000000045
SOLUSDT,2.0,0.8,208.25690822187744,40.63492063492063,25.445146177917337,9.0
SOLUSDT,1.5,1.4,206.45690822187757,47.61904761904761,9.79422883223387,7.200000000000131
SOLUSDT,1.0,1.0,204.25690822187747,53.96825396825397,11.245146177917348,5.000000000000028
SOLUSDT,1.5,1.2,202.25690822187747,47.61904761904761,12.348634814911946,3.0000000000000284
SOLUSDT,1.75,0.8,201.05690822187742,44.44444444444444,20.04514617791736,1.799999999999983
SOLUSDT,2.0,1.4,199.85690822187755,40.63492063492063,19.338109083204586,0.600000000000108
SOLUSDT,1.25,1.0,196.2569082218775,50.476190476190474,13.245146177917348,-2.999999999999943
SOLUSDT,1.75,1.4,195.65690822187753,44.44444444444444,12.194228832233875,-3.599999999999909
SOLUSDT,2.0,1.6,193.05690822187736,40.63492063492063,17.538109083204546,-6.200000000000074
SOLUSDT,1.5,1.0,192.2569082218775,47.61904761904761,15.245146177917348,-6.999999999999943
SOLUSDT,2.0,1.0,190.2569082218775,40.63492063492063,23.24514617791735,-8.999999999999943
SOLUSDT,2.0,1.2,187.8569082218775,40.63492063492063,21.14863481491193,-11.399999999999949
SOLUSDT,1.75,1.2,187.05690822187748,44.44444444444444,14.548634814911935,-12.19999999999996
SOLUSDT,1.75,1.6,185.85690822187735,44.44444444444444,9.738109083204534,-13.400000000000091
SOLUSDT,1.75,1.0,179.2569082218775,44.44444444444444,17.24514617791735,-19.999999999999943
