symbol,mfe1_r,lock1_r,total_r,win_pct,max_dd_r,delta_vs_base_r
BTCUSDT,2.0,1.4,197.7980231516793,42.02453987730061,22.81314720595351,-45.59999999999994
BTCUSDT,2.0,0.8,187.5980231516795,42.02453987730061,25.95258113095909,-55.79999999999973
BTCUSDT,1.75,1.4,185.79802315167936,43.86503067484663,19.952581130959384,-57.59999999999988
BTCUSDT,2.0,1.2,184.39802315167898,42.02453987730061,23.552581130959304,-59.000000000000256
BTCUSDT,1.75,1.2,183.99802315167895,43.86503067484663,21.352581130959308,-59.40000000000029
BTCUSDT,2.0,1.6,179.59802315167923,42.02453987730061,21.152581130959014,-63.80000000000001
BTCUSDT,2.0,1.0,178.39802315167924,42.02453987730061,24.7525811309592,-65.0
BTCUSDT,1.75,0.8,176.79802315167953,43.86503067484663,26.257966199088155,-66.59999999999971
BTCUSDT,1.75,1.0,176.39802315167924,43.86503067484663,23.45796619908834,-67.0
BTCUSDT,1.5,1.4,176.19802315167928,46.012269938650306,18.809294903946544,-67.19999999999996
BTCUSDT,1.75,1.6,175.99802315167918,43.86503067484663,18.552581130959013,-67.40000000000006
BTCUSDT,1.0,1.0,170.39802315167924,51.533742331288344,19.990992103906343,-73.0
BTCUSDT,1.5,1.0,169.39802315167924,46.012269938650306,24.457966199088343,-74.0
BTCUSDT,1.5,0.8,167.79802315167956,46.012269938650306,28.057966199088124,-75.59999999999968
BTCUSDT,1.5,1.2,165.39802315167893,46.012269938650306,21.009294903946458,-78.00000000000031
BTCUSDT,1.25,1.2,158.19802315167894,47.85276073619632,21.004097371594202,-85.2000000000003
BTCUSDT,1.0,0.8,156.99802315167955,51.533742331288344,23.19099210390612,-86.3999999999997
BTCUSDT,1.25,1.0,146.39802315167924,47.85276073619632,22.457966199088347,-97.0
BTCUSDT,1.25,0.8,142.59802315167957,47.85276073619632,26.257966199088123,-100.79999999999967
