exit_ts,symbol,pnl_r,reason,withdrawal_usd,risk_usd_1r,pnl_usd,equity
2021-07-05 16:00:00+00:00,DOGEUSDT,2.1002643678160906,BE,0.0,250.0,525.07,10525.07
2021-07-08 08:05:00+00:00,DOGEUSDT,-1.0086908850726553,SL,0.0,250.0,-252.17,10272.89
2021-07-13 00:00:00+00:00,DOGEUSDT,1.4730346820809412,BE,0.0,250.0,368.26,10641.15
2021-07-13 18:30:00+00:00,DOGEUSDT,-1.021543816254417,SL,0.0,250.0,-255.39,10385.77
2021-07-15 16:00:00+00:00,DOGEUSDT,-1.047949579831933,SL,0.0,250.0,-261.99,10123.78
2021-07-21 20:00:00+00:00,DOGEUSDT,7.905575000000001,TP,0.0,250.0,1976.39,12100.17
2021-07-26 08:00:00+00:00,DOGEUSDT,2.959946428571428,BE,0.0,250.0,739.99,12840.16
2021-08-01 08:05:00+00:00,DOGEUSDT,2.946693442622951,BE,0.0,250.0,736.67,13576.83
2021-08-07 08:00:00+00:00,DOGEUSDT,6.923800000000081,TP,0.0,250.0,1730.95,15307.78
2021-08-11 01:30:00+00:00,DOGEUSDT,-1.0094505603985056,SL,0.0,250.0,-252.36,15055.42
2021-08-12 08:00:00+00:00,DOGEUSDT,1.6244137724550956,BE,0.0,250.0,406.1,15461.52
2021-08-14 20:10:00+00:00,DOGEUSDT,0.6831056603773656,BE,0.0,250.0,170.78,15632.3
2021-08-15 18:10:00+00:00,DOGEUSDT,-1.006806278366112,SL,0.0,250.0,-251.7,15380.6
2021-08-17 15:35:00+00:00,DOGEUSDT,0.514502709906706,BE,0.0,250.0,128.63,15509.22
2021-09-20 12:25:00+00:00,DOGEUSDT,-1.0015262530315279,SL,0.0,250.0,-250.38,15258.84
2021-09-22 00:00:00+00:00,DOGEUSDT,-1.0157722921914358,SL,0.0,250.0,-253.94,15004.9
2021-10-01 16:00:00+00:00,DOGEUSDT,7.716930434782618,TP,0.0,250.0,1929.23,16934.13
2021-10-02 00:00:00+00:00,DOGEUSDT,-1.0590135135135135,SL,0.0,250.0,-264.75,16669.38
2021-10-02 20:00:00+00:00,DOGEUSDT,-1.0252352272727272,SL,0.0,250.0,-256.31,16413.07
2021-10-05 00:00:00+00:00,DOGEUSDT,-1.0116344537815127,SL,0.0,250.0,-252.91,16160.16
2021-10-18 19:00:00+00:00,DOGEUSDT,0.5225552033080626,BE,0.0,250.0,130.64,16290.8
2021-10-25 04:00:00+00:00,DOGEUSDT,0.988656301369863,BE,0.0,250.0,247.16,16537.96
2021-10-28 12:45:00+00:00,DOGEUSDT,2.9879813414634144,BE,0.0,250.0,747.0,17284.96
2021-11-08 17:15:00+00:00,DOGEUSDT,0.5125859896219425,BE,0.0,250.0,128.15,17413.11
2021-11-23 00:00:00+00:00,DOGEUSDT,0.8845797752808985,BE,0.0,250.0,221.14,17634.25
2021-11-26 16:35:00+00:00,DOGEUSDT,0.5267224666666669,BE,0.0,250.0,131.68,17765.93
2021-12-05 20:00:00+00:00,DOGEUSDT,0.9196810874704464,BE,0.0,250.0,229.92,17995.85
2021-12-06 12:25:00+00:00,DOGEUSDT,1.6963901898734193,BE,0.0,250.0,424.1,18419.95
2021-12-14 00:00:00+00:00,DOGEUSDT,0.7437459064327557,BE,0.0,250.0,185.94,18605.89
2021-12-14 16:00:00+00:00,DOGEUSDT,2.5907954699886724,BE,0.0,250.0,647.7,19253.58
2021-12-24 00:00:00+00:00,DOGEUSDT,-1.0416431818181822,SL,0.0,250.0,-260.41,18993.17
2021-12-24 16:00:00+00:00,DOGEUSDT,-1.0272643564356436,SL,0.0,250.0,-256.82,18736.36
2021-12-27 00:00:00+00:00,DOGEUSDT,1.2640794520547538,BE,0.0,250.0,316.02,19052.38
2021-12-27 16:05:00+00:00,DOGEUSDT,0.8109599999999836,BE,0.0,250.0,202.74,19255.12
2021-12-30 04:00:00+00:00,DOGEUSDT,0.5684016129032191,BE,0.0,250.0,142.1,19397.22
2022-01-06 00:00:00+00:00,BTCUSDT,-1.024648395284251,SL,0.0,250.0,-256.16,19141.06
2022-01-06 00:00:00+00:00,SOLUSDT,-1.039022131147541,SL,0.0,250.0,-259.76,18881.3
