symbol,mfe1_r,lock1_r,mfe2_r,lock2_r,total_r,win_pct,max_dd_r,delta_vs_stage1_r,delta_vs_base_r
DOGEUSDT,1.5,1.0,6.5,5.0,138.5378761034351,47.61904761904761,9.534848969841633,4.0,16.000000000000014
DOGEUSDT,1.5,1.0,6.0,5.0,137.53787610343508,47.61904761904761,9.534848969841633,2.9999999999999716,14.999999999999986
DOGEUSDT,1.5,1.0,6.5,6.0,136.5378761034351,47.61904761904761,9.534848969841633,2.0,14.000000000000014
DOGEUSDT,1.5,1.0,7.0,5.0,136.5378761034351,47.61904761904761,9.534848969841633,2.0,14.000000000000014
DOGEUSDT,1.5,1.0,7.0,5.5,136.0378761034351,47.61904761904761,9.534848969841633,1.5,13.500000000000014
DOGEUSDT,1.5,1.0,6.5,5.5,135.03787610343514,47.61904761904761,9.534848969841633,0.5000000000000284,12.500000000000043
DOGEUSDT,1.5,1.0,7.0,6.5,135.03787610343508,47.61904761904761,9.534848969841633,0.4999999999999716,12.499999999999986
DOGEUSDT,1.5,1.0,7.0,6.0,134.5378761034351,47.61904761904761,9.534848969841633,0.0,12.000000000000014
DOGEUSDT,1.5,1.0,6.0,5.5,134.0378761034351,47.61904761904761,9.534848969841633,-0.5,11.500000000000014
DOGEUSDT,1.5,1.0,5.5,5.0,128.53787610343505,47.61904761904761,9.534848969841633,-6.000000000000057,5.999999999999957
