mfe2_r,lock2_r,total_r,delta_vs_base_r,delta_vs_stage1_r,win_pct,max_dd_r,avg_hold_h
2.0,1.8,152.1291,-35.4,-0.4,52.4,7.7097,18.1
3.0,3.0,149.7291,-37.8,-2.8,52.4,7.7097,18.17
3.0,2.5,148.2291,-39.3,-4.3,52.4,7.7097,18.23
2.5,2.0,147.5291,-40.0,-5.0,52.4,7.7097,18.2
