symbol,n_trades,n_chunks_with_trades,baseline_total_r,managed_total_r,baseline_delta_r,win_pct,max_dd_r,avg_hold_h
BTCUSDT,336,49,285.4400245640358,202.4400245640357,-83.00000000000011,53.273809523809526,20.745402084925306,6.528769841269841
LINKUSDT,317,45,168.94557048281973,185.54557048281993,16.600000000000193,52.36593059936908,15.640950447137783,13.126182965299684
SOLUSDT,357,49,163.24352538036243,250.24352538036246,87.00000000000003,56.30252100840336,10.327742349777225,6.932306255835668
XRPUSDT,244,44,246.39859054371655,189.19859054371653,-57.20000000000002,57.786885245901644,9.632401825948879,14.978142076502733
ETHUSDT,333,50,318.0907464676327,195.69074646763278,-122.39999999999992,48.048048048048045,18.287075071758004,4.15965965965966
