mfe2_r,lock2_r,total_r,delta_vs_base_r,delta_vs_stage1_r,win_pct,max_dd_r,avg_hold_h
5.0,5.0,200.5291,-44.0,1.2,52.84,7.7097,19.36
5.0,4.0,196.5291,-48.0,-2.8,52.84,7.7097,19.97
5.0,3.5,188.5291,-56.0,-10.8,52.84,7.7097,20.1
4.0,3.0,187.7291,-56.8,-11.6,52.84,7.7097,19.78
4.0,4.0,187.7291,-56.8,-11.6,52.84,7.7097,19.04
3.0,3.0,180.7291,-63.8,-18.6,52.84,7.7097,18.31
3.0,2.5,179.7291,-64.8,-19.6,52.84,7.7097,18.4
4.0,3.5,179.7291,-64.8,-19.6,52.84,7.7097,19.49
