symbol,mfe1_r,lock1_r,total_r,win_pct,max_dd_r,delta_vs_base_r
DOGEUSDT,1.5,1.0,134.5378761034351,47.61904761904761,9.534848969841633,12.000000000000014
DOGEUSDT,1.5,0.8,133.3378761034351,47.61904761904761,10.036957695152978,10.799999999999997
DOGEUSDT,1.5,1.4,132.73787610343516,47.61904761904761,9.51247648381694,10.20000000000006
DOGEUSDT,1.0,1.0,131.53787610343505,51.90476190476191,9.534848969841633,8.999999999999957
DOGEUSDT,1.5,1.2,129.73787610343513,47.61904761904761,9.512476483816954,7.200000000000031
DOGEUSDT,1.25,1.0,128.5378761034351,49.523809523809526,9.534848969841633,6.000000000000014
DOGEUSDT,2.0,0.8,127.9378761034351,38.57142857142858,15.31371052845698,5.400000000000006
DOGEUSDT,2.0,1.0,124.5378761034351,38.57142857142858,12.11371052845692,2.0
DOGEUSDT,1.75,0.8,124.3378761034351,41.42857142857143,11.534848969841633,1.7999999999999972
DOGEUSDT,1.75,1.0,122.5378761034351,41.42857142857143,11.534848969841633,0.0
DOGEUSDT,2.0,1.2,121.93787610343509,38.57142857142858,15.713710528456929,-0.6000000000000085
DOGEUSDT,1.0,0.8,120.7378761034351,51.90476190476191,10.036957695152978,-1.7999999999999972
DOGEUSDT,2.0,1.6,119.13787610343503,38.57142857142858,11.534848969841633,-3.4000000000000625
DOGEUSDT,1.25,0.8,118.93787610343509,49.523809523809526,10.036957695152978,-3.6000000000000085
DOGEUSDT,1.25,1.2,118.13787610343512,49.523809523809526,9.512476483816954,-4.399999999999977
DOGEUSDT,1.75,1.6,115.53787610343505,41.42857142857143,11.534848969841633,-7.000000000000043
DOGEUSDT,1.75,1.2,114.7378761034351,41.42857142857143,11.534848969841633,-7.799999999999997
DOGEUSDT,2.0,1.4,113.53787610343514,38.57142857142858,12.313710528456895,-8.999999999999957
DOGEUSDT,1.75,1.4,108.13787610343513,41.42857142857143,11.534848969841633,-14.399999999999963
