symbol,entry_ts,exit_ts,side,entry_price,stop_init,risk_price,pnl_r,reason,hold_5m_bars,hold_hours
BTCUSDT,2022-01-05 20:00:00+00:00,2022-01-06 00:00:00+00:00,LONG,44671.93,44128.22,543.7099999999991,-1.024648395284251,SL,1,0.08333333333333333
BTCUSDT,2022-01-21 04:00:00+00:00,2022-01-21 11:05:00+00:00,LONG,38447.92,38200.0,247.91999999999825,1.3534754114230334,BE,38,3.1666666666666665
BTCUSDT,2022-01-24 08:00:00+00:00,2022-01-24 12:00:00+00:00,LONG,34875.54,34588.8,286.73999999999796,-1.0364883239171376,SL,1,0.08333333333333333
BTCUSDT,2022-02-04 16:00:00+00:00,2022-02-04 20:00:00+00:00,SHORT,39481.72,39863.27,381.54999999999563,-1.0310431555497317,SL,1,0.08333333333333333
BTCUSDT,2022-02-10 08:00:00+00:00,2022-02-10 12:00:00+00:00,SHORT,44066.19,44826.0,759.8099999999977,-1.0173988984088127,SL,1,0.08333333333333333
BTCUSDT,2022-02-15 12:00:00+00:00,2022-02-15 17:30:00+00:00,SHORT,44214.3,44442.3,228.0,1.3418232894736715,BE,19,1.5833333333333333
BTCUSDT,2022-02-16 00:00:00+00:00,2022-02-16 06:15:00+00:00,SHORT,44529.7,44777.0,247.3000000000029,1.3459809543064991,BE,28,2.333333333333333
BTCUSDT,2022-02-18 12:00:00+00:00,2022-02-18 16:00:00+00:00,LONG,40167.2,40020.1,147.09999999999854,-1.0819181509177438,SL,1,0.08333333333333333
BTCUSDT,2022-02-20 08:00:00+00:00,2022-02-20 12:00:00+00:00,LONG,38770.3,38553.5,216.8000000000029,-1.0536489391143904,SL,1,0.08333333333333333
BTCUSDT,2022-02-21 12:00:00+00:00,2022-02-21 16:25:00+00:00,LONG,37550.0,37314.5,235.5,5.452165605095542,BE,6,0.5
BTCUSDT,2022-02-22 00:00:00+00:00,2022-02-22 04:00:00+00:00,LONG,36986.4,36762.0,224.40000000000146,-1.0494470588235292,SL,1,0.08333333333333333
BTCUSDT,2022-02-24 04:00:00+00:00,2022-02-24 08:35:00+00:00,LONG,34907.8,34673.1,234.70000000000437,1.3553798892202944,BE,8,0.6666666666666666
BTCUSDT,2022-02-28 20:00:00+00:00,2022-03-01 00:00:00+00:00,SHORT,41306.5,41489.0,182.5,-1.067901095890411,SL,1,0.08333333333333333
