exit_ts,symbol,pnl_r,reason,withdrawal_usd,risk_usd_1r,pnl_usd,equity,period
2022-03-17 04:00:00+00:00,SOLUSDT,-1.1096625000000024,SL,0.0,250.0,-277.42,10664.72,"(2022, 3)"
2022-03-17 04:05:00+00:00,BTCUSDT,0.5944199891215751,BE,0.0,250.0,148.6,10813.32,"(2022, 3)"
2022-03-17 16:00:00+00:00,SOLUSDT,-1.0169683870967743,SL,0.0,250.0,-254.24,10559.08,"(2022, 3)"
2022-03-18 16:00:00+00:00,LINKUSDT,-1.1256914285714281,SL,0.0,250.0,-281.42,10277.66,"(2022, 3)"
2022-03-19 00:00:00+00:00,BTCUSDT,2.8236910489510487,BE,0.0,250.0,705.92,10983.58,"(2022, 3)"
2022-03-19 00:00:00+00:00,SOLUSDT,0.9774132231404961,BE,0.0,250.0,244.35,11227.93,"(2022, 3)"
2022-03-19 04:00:00+00:00,DOGEUSDT,0.916906976744186,BE,0.0,250.0,229.23,11457.16,"(2022, 3)"
2022-03-19 18:50:00+00:00,XRPUSDT,-1.016495918367347,SL,0.0,250.0,-254.12,11203.03,"(2022, 3)"
2022-03-19 20:00:00+00:00,SOLUSDT,7.882462499999997,TP,0.0,250.0,1970.62,13173.65,"(2022, 3)"
2022-03-22 00:00:00+00:00,XRPUSDT,7.717733333333337,TP,0.0,250.0,1929.43,15103.08,"(2022, 3)"
2022-03-22 08:00:00+00:00,BTCUSDT,0.5704851851851744,BE,0.0,250.0,142.62,15245.7,"(2022, 3)"
2022-03-22 08:00:00+00:00,LINKUSDT,1.555673333333333,BE,0.0,250.0,388.92,15634.62,"(2022, 3)"
2022-03-22 12:00:00+00:00,DOGEUSDT,-1.0314358974358973,SL,0.0,250.0,-257.86,15376.76,"(2022, 3)"
2022-03-23 20:00:00+00:00,BTCUSDT,2.9055682926829287,BE,0.0,250.0,726.39,16103.16,"(2022, 3)"
2022-03-23 20:00:00+00:00,DOGEUSDT,-1.035105607476635,SL,0.0,250.0,-258.78,15844.38,"(2022, 3)"
2022-03-23 20:00:00+00:00,LINKUSDT,2.9251211111111233,BE,0.0,250.0,731.28,16575.66,"(2022, 3)"
2022-03-23 20:20:00+00:00,SOLUSDT,2.9590071428571423,BE,0.0,250.0,739.75,17315.41,"(2022, 3)"
2022-03-24 04:00:00+00:00,BTCUSDT,0.8659370087336382,BE,0.0,250.0,216.48,17531.9,"(2022, 3)"
2022-03-24 12:00:00+00:00,LINKUSDT,-1.0548689655172416,SL,0.0,250.0,-263.72,17268.18,"(2022, 3)"
2022-03-24 12:00:00+00:00,SOLUSDT,-1.0549452830188677,SL,0.0,250.0,-263.74,17004.44,"(2022, 3)"
2022-03-24 12:35:00+00:00,BTCUSDT,0.519202300159422,BE,0.0,250.0,129.8,17134.24,"(2022, 3)"
2022-03-25 16:00:00+00:00,LINKUSDT,7.8859093023255795,TP,0.0,250.0,1971.48,19105.72,"(2022, 3)"
2022-03-26 12:00:00+00:00,DOGEUSDT,0.5350104651162797,BE,0.0,250.0,133.75,19239.47,"(2022, 3)"
2022-03-26 12:00:00+00:00,SOLUSDT,2.887555555555554,BE,0.0,250.0,721.89,19961.36,"(2022, 3)"
2022-03-26 20:00:00+00:00,SOLUSDT,-1.0389192307692308,SL,0.0,250.0,-259.73,19701.63,"(2022, 3)"
2022-03-28 00:00:00+00:00,SOLUSDT,-1.1105285714285709,SL,0.0,250.0,-277.63,19424.0,"(2022, 3)"
2022-03-28 04:00:00+00:00,LINKUSDT,2.0205173913043533,BE,0.0,250.0,505.13,19929.13,"(2022, 3)"
2022-03-28 04:00:00+00:00,XRPUSDT,-1.8578000000000945,SL,0.0,250.0,-464.45,19464.68,"(2022, 3)"
2022-03-29 12:10:00+00:00,LINKUSDT,-1.0102884146341464,SL,0.0,250.0,-252.57,19212.11,"(2022, 3)"
2022-03-29 12:15:00+00:00,SOLUSDT,-1.0068485355648535,SL,0.0,250.0,-251.71,18960.4,"(2022, 3)"
2022-03-29 16:00:00+00:00,XRPUSDT,1.3755194174757293,BE,0.0,250.0,343.88,19304.28,"(2022, 3)"
