symbol,mfe1_r,lock1_r,mfe2_r,lock2_r,total_r,win_pct,max_dd_r,delta_vs_stage1_r,delta_vs_base_r
LINKUSDT,2.0,1.6,7.0,6.5,184.58030227340723,41.853035143769965,19.41260242228512,11.078648837209272,35.878648837209454
LINKUSDT,2.0,1.6,6.5,6.0,181.88030227340727,41.853035143769965,19.41260242228512,8.378648837209312,33.178648837209494
LINKUSDT,2.0,1.6,7.0,6.0,181.08030227340723,41.853035143769965,19.41260242228509,7.578648837209272,32.378648837209454
LINKUSDT,2.0,1.6,7.0,5.0,180.08030227340723,41.853035143769965,19.41260242228509,6.578648837209272,31.378648837209454
LINKUSDT,2.0,1.6,6.5,5.0,177.88030227340727,41.853035143769965,19.41260242228509,4.378648837209312,29.178648837209494
LINKUSDT,2.0,1.6,6.5,5.5,174.88030227340727,41.853035143769965,19.41260242228509,1.3786488372093118,26.178648837209494
LINKUSDT,2.0,1.6,7.0,5.5,174.58030227340726,41.853035143769965,19.41260242228509,1.0786488372093004,25.878648837209482
LINKUSDT,2.0,1.6,6.0,5.5,172.38030227340724,41.853035143769965,19.41260242228509,-1.1213511627907167,23.678648837209465
LINKUSDT,2.0,1.6,6.0,5.0,168.88030227340727,41.853035143769965,19.412602422285076,-4.621351162790688,20.178648837209494
LINKUSDT,2.0,1.6,5.5,5.0,165.88030227340727,41.853035143769965,19.412602422285076,-7.621351162790688,17.178648837209494
