symbol,tp_r,mfe1_r,lock1_r,mfe2_r,lock2_r,total_r,delta_vs_tp_only,delta_vs_stage1,win_pct,max_dd_r,avg_hold_h
XRPUSDT,8.0,0.5,1.0,1.75,2.5,90.6022,15.0,4.0,51.22,5.3311,9.32
XRPUSDT,8.0,0.5,1.0,1.75,3.0,96.6022,21.0,10.0,51.22,5.3311,9.27
XRPUSDT,8.0,0.5,1.0,2.0,1.5,84.6022,9.0,-2.0,51.22,5.3311,9.66
XRPUSDT,8.0,0.5,1.0,2.0,2.0,83.6022,8.0,-3.0,51.22,5.3311,9.32
XRPUSDT,8.0,0.5,1.0,2.0,2.5,89.1022,13.5,2.5,51.22,5.3311,9.32
XRPUSDT,8.0,0.5,1.0,2.0,3.0,94.6022,19.0,8.0,51.22,5.3311,9.27
XRPUSDT,8.0,0.5,1.0,2.5,1.5,83.6022,8.0,-3.0,51.22,5.3575,9.66
XRPUSDT,8.0,0.5,1.0,2.5,2.0,81.6022,6.0,-5.0,51.22,5.3311,9.32
XRPUSDT,8.0,0.5,1.0,2.5,2.5,86.1022,10.5,-0.5,51.22,5.3311,9.32
XRPUSDT,8.0,0.5,1.0,2.5,3.0,90.6022,15.0,4.0,51.22,5.3311,9.27
BTCUSDT,3.0,0.5,1.0,1.25,1.5,32.2891,3.0,5.0,53.66,7.6655,15.66
BTCUSDT,3.0,0.5,1.0,1.25,2.0,39.2891,10.0,12.0,53.66,6.1655,15.61
BTCUSDT,3.0,0.5,1.0,1.25,2.5,46.2891,17.0,19.0,53.66,5.9593,15.61
BTCUSDT,3.0,0.5,1.0,1.25,3.0,53.2891,24.0,26.0,53.66,5.9593,15.61
BTCUSDT,3.0,0.5,1.0,1.5,1.5,30.7891,1.5,3.5,53.66,8.1655,15.66
BTCUSDT,3.0,0.5,1.0,1.5,2.0,36.2891,7.0,9.0,53.66,7.1655,15.61
BTCUSDT,3.0,0.5,1.0,1.5,2.5,41.7891,12.5,14.5,53.66,6.1655,15.61
