symbol,entry_ts,exit_ts,side,entry_price,stop_init,risk_price,pnl_r,reason,hold_5m_bars,hold_hours
XRPUSDT,2022-01-05 20:00:00+00:00,2022-01-06 00:00:00+00:00,LONG,0.7978,0.79,0.007799999999999918,-1.0306846153846156,SL,1,0.08333333333333333
XRPUSDT,2022-01-07 04:00:00+00:00,2022-01-07 08:05:00+00:00,LONG,0.7448,0.7377,0.007099999999999995,1.3685295774647823,BE,2,0.16666666666666666
XRPUSDT,2022-01-07 16:00:00+00:00,2022-01-07 21:45:00+00:00,LONG,0.7479,0.7281,0.01980000000000004,1.388668181818183,BE,22,1.8333333333333333
XRPUSDT,2022-01-08 20:00:00+00:00,2022-01-09 00:05:00+00:00,LONG,0.7299,0.722,0.007900000000000018,1.3722822784810185,BE,2,0.16666666666666666
XRPUSDT,2022-01-19 08:00:00+00:00,2022-01-20 02:05:00+00:00,LONG,0.7283,0.725,0.0032999999999999696,5.433790909090925,BE,170,14.166666666666666
XRPUSDT,2022-01-21 04:00:00+00:00,2022-01-21 08:15:00+00:00,LONG,0.6901,0.6864,0.0037000000000000366,1.3440459459459524,BE,4,0.3333333333333333
XRPUSDT,2022-01-24 08:00:00+00:00,2022-01-24 12:00:00+00:00,LONG,0.5995,0.5894,0.010099999999999998,-1.0178069306930693,SL,1,0.08333333333333333
XRPUSDT,2022-02-04 20:00:00+00:00,2022-02-05 00:00:00+00:00,SHORT,0.6397,0.6414,0.0016999999999999238,-1.1128882352941227,SL,1,0.08333333333333333
XRPUSDT,2022-02-22 04:00:00+00:00,2022-02-22 12:00:00+00:00,LONG,0.6787,0.6667,0.01200000000000001,1.3830325000000019,BE,49,4.083333333333333
XRPUSDT,2022-02-24 04:00:00+00:00,2022-02-24 16:30:00+00:00,LONG,0.6388,0.6257,0.0131,1.385370992366414,BE,103,8.583333333333332
XRPUSDT,2022-03-12 00:00:00+00:00,2022-03-12 04:00:00+00:00,SHORT,0.8026,0.8138,0.011199999999999988,-1.0214982142857143,SL,1,0.08333333333333333
XRPUSDT,2022-03-13 04:00:00+00:00,2022-03-13 12:30:00+00:00,SHORT,0.7964,0.8071,0.010700000000000043,1.3776710280373874,BE,55,4.583333333333333
XRPUSDT,2022-03-19 08:00:00+00:00,2022-03-19 18:50:00+00:00,SHORT,0.8083,0.823,0.014699999999999935,-1.016495918367347,SL,83,6.916666666666666
XRPUSDT,2022-03-21 20:00:00+00:00,2022-03-22 00:00:00+00:00,SHORT,0.8468,0.8477,0.0009000000000000119,7.717733333333337,TP,1,0.08333333333333333
XRPUSDT,2022-03-28 00:00:00+00:00,2022-03-28 04:00:00+00:00,SHORT,0.8578,0.8581,0.00029999999999996696,-1.8578000000000945,SL,1,0.08333333333333333
XRPUSDT,2022-03-29 12:00:00+00:00,2022-03-29 16:15:00+00:00,SHORT,0.881,0.9016,0.02059999999999995,1.3871699029126234,BE,4,0.3333333333333333
XRPUSDT,2022-04-06 16:00:00+00:00,2022-04-06 23:05:00+00:00,LONG,0.7794,0.7653,0.014100000000000001,-1.0165829787234042,SL,38,3.1666666666666665
XRPUSDT,2022-04-08 20:00:00+00:00,2022-04-10 18:20:00+00:00,LONG,0.759,0.752,0.007000000000000006,1.3674714285714318,BE,509,42.416666666666664
XRPUSDT,2022-04-11 04:00:00+00:00,2022-04-11 09:05:00+00:00,LONG,0.7381,0.7309,0.007199999999999984,-1.0307541666666666,SL,14,1.1666666666666665
XRPUSDT,2022-04-11 12:00:00+00:00,2022-04-11 16:00:00+00:00,LONG,0.7078,0.7036,0.0041999999999999815,-1.050557142857143,SL,1,0.08333333333333333
XRPUSDT,2022-04-15 04:00:00+00:00,2022-04-15 08:05:00+00:00,SHORT,0.7863,0.79,0.0037000000000000366,1.3362459459459526,BE,2,0.16666666666666666
XRPUSDT,2022-04-16 00:00:00+00:00,2022-04-16 08:05:00+00:00,SHORT,0.7852,0.7924,0.007199999999999984,1.3672833333333332,BE,50,4.166666666666666
XRPUSDT,2022-04-24 00:00:00+00:00,2022-04-24 04:15:00+00:00,LONG,0.7052,0.7011,0.0041000000000001036,1.348400000000012,BE,4,0.3333333333333333
XRPUSDT,2022-04-24 20:00:00+00:00,2022-04-25 00:05:00+00:00,LONG,0.7014,0.6937,0.00770000000000004,-1.0273272727272726,SL,2,0.16666666666666666
XRPUSDT,2022-04-26 16:00:00+00:00,2022-04-26 20:00:00+00:00,LONG,0.6527,0.6502,0.0024999999999999467,-1.0783240000000016,SL,1,0.08333333333333333
XRPUSDT,2022-04-28 16:00:00+00:00,2022-04-28 20:35:00+00:00,LONG,0.6384,0.6323,0.006099999999999994,1.3686032786885245,BE,8,0.6666666666666666
XRPUSDT,2022-04-29 12:00:00+00:00,2022-04-29 16:40:00+00:00,LONG,0.6188,0.612,0.006800000000000028,-1.0272999999999999,SL,9,0.75
XRPUSDT,2022-04-30 20:00:00+00:00,2022-05-01 00:00:00+00:00,LONG,0.6111,0.6023,0.00880000000000003,-1.0208329545454544,SL,1,0.08333333333333333
XRPUSDT,2022-05-09 08:00:00+00:00,2022-05-09 12:00:00+00:00,LONG,0.5518,0.5507,0.0010999999999999899,-1.1504909090909106,SL,1,0.08333333333333333
XRPUSDT,2022-05-10 16:00:00+00:00,2022-05-11 12:45:00+00:00,LONG,0.517,0.4718,0.04520000000000002,-1.0034314159292035,SL,202,16.833333333333332
XRPUSDT,2022-05-31 00:00:00+00:00,2022-05-31 04:10:00+00:00,SHORT,0.4186,0.4195,0.0008999999999999564,1.2604666666666475,BE,3,0.25
XRPUSDT,2022-06-01 00:00:00+00:00,2022-06-01 04:15:00+00:00,SHORT,0.4212,0.4255,0.0042999999999999705,1.3706139534883746,BE,4,0.3333333333333333
XRPUSDT,2022-06-11 16:00:00+00:00,2022-06-11 20:05:00+00:00,LONG,0.3601,0.3564,0.003699999999999981,1.3708027027026997,BE,2,0.16666666666666666
XRPUSDT,2022-06-12 00:00:00+00:00,2022-06-12 04:00:00+00:00,LONG,0.3596,0.3551,0.0044999999999999485,-1.0239733333333336,SL,1,0.08333333333333333
XRPUSDT,2022-06-13 00:00:00+00:00,2022-06-13 04:00:00+00:00,LONG,0.343,0.3393,0.0037000000000000366,-1.0278108108108106,SL,1,0.08333333333333333
XRPUSDT,2022-06-15 04:00:00+00:00,2022-06-15 08:00:00+00:00,LONG,0.3132,0.3085,0.004699999999999982,-1.0199914893617021,SL,1,0.08333333333333333
XRPUSDT,2022-06-24 04:00:00+00:00,2022-06-24 08:15:00+00:00,SHORT,0.3674,0.3772,0.009799999999999975,-1.0112469387755103,SL,4,0.3333333333333333
XRPUSDT,2022-06-26 00:00:00+00:00,2022-06-26 11:55:00+00:00,SHORT,0.3674,0.3722,0.004799999999999971,-1.0229625000000002,SL,96,8.0
XRPUSDT,2022-06-30 12:00:00+00:00,2022-06-30 16:35:00+00:00,LONG,0.3099,0.3059,0.0040000000000000036,1.3767574999999972,BE,8,0.6666666666666666
XRPUSDT,2022-07-07 20:00:00+00:00,2022-07-08 00:00:00+00:00,SHORT,0.3413,0.3419,0.0005999999999999894,-1.170650000000003,SL,1,0.08333333333333333
XRPUSDT,2022-07-15 04:00:00+00:00,2022-07-15 08:25:00+00:00,SHORT,0.3445,0.3489,0.004400000000000015,1.3765113636363588,BE,6,0.5
XRPUSDT,2022-07-16 20:00:00+00:00,2022-07-17 04:15:00+00:00,SHORT,0.351,0.356,0.0050000000000000044,-1.02106,SL,52,4.333333333333333
XRPUSDT,2022-07-18 04:00:00+00:00,2022-07-18 08:00:00+00:00,SHORT,0.3557,0.3595,0.00379999999999997,-1.0280815789473687,SL,1,0.08333333333333333
XRPUSDT,2022-07-19 00:00:00+00:00,2022-07-19 05:15:00+00:00,SHORT,0.3648,0.3699,0.005099999999999993,1.3785411764705862,BE,16,1.3333333333333333
XRPUSDT,2022-07-19 20:00:00+00:00,2022-07-20 01:40:00+00:00,SHORT,0.3694,0.3732,0.00379999999999997,-1.0291631578947371,SL,21,1.75
XRPUSDT,2022-07-26 08:00:00+00:00,2022-07-26 12:35:00+00:00,LONG,0.3289,0.3279,0.0010000000000000009,1.3013300000000112,BE,8,0.6666666666666666
XRPUSDT,2022-07-26 16:00:00+00:00,2022-07-26 21:30:00+00:00,LONG,0.3261,0.3251,0.0010000000000000009,5.40217,BE,19,1.5833333333333333
XRPUSDT,2022-07-28 20:00:00+00:00,2022-07-29 00:10:00+00:00,SHORT,0.3725,0.3743,0.0018000000000000238,-1.0620833333333326,SL,3,0.25
XRPUSDT,2022-07-30 16:00:00+00:00,2022-07-31 08:00:00+00:00,SHORT,0.4016,0.4055,0.0039000000000000146,1.3691076923076924,BE,145,12.083333333333332
XRPUSDT,2022-08-19 08:00:00+00:00,2022-08-28 23:20:00+00:00,LONG,0.3447,0.3226,0.02210000000000001,-1.004679185520362,SL,2729,227.41666666666666
XRPUSDT,2022-08-29 00:00:00+00:00,2022-08-29 04:25:00+00:00,LONG,0.3222,0.3211,0.0010999999999999899,-1.087872727272728,SL,6,0.5
XRPUSDT,2022-09-08 20:00:00+00:00,2022-09-09 02:10:00+00:00,SHORT,0.3427,0.3433,0.0005999999999999894,1.228650000000034,BE,27,2.25
XRPUSDT,2022-09-09 04:00:00+00:00,2022-09-09 08:00:00+00:00,SHORT,0.3446,0.3462,0.0015999999999999903,-1.0646125000000004,SL,1,0.08333333333333333
XRPUSDT,2022-09-12 20:00:00+00:00,2022-09-13 00:00:00+00:00,SHORT,0.3566,0.3575,0.0009000000000000119,-1.1188666666666651,SL,1,0.08333333333333333
XRPUSDT,2022-09-17 16:00:00+00:00,2022-09-18 07:20:00+00:00,SHORT,0.3708,0.379,0.008199999999999985,-1.0135658536585366,SL,137,11.416666666666666
XRPUSDT,2022-09-19 20:00:00+00:00,2022-09-20 00:05:00+00:00,SHORT,0.3899,0.3918,0.0018999999999999573,1.3384368421052617,BE,2,0.16666666666666666
XRPUSDT,2022-09-20 16:00:00+00:00,2022-09-20 21:30:00+00:00,SHORT,0.4195,0.4221,0.002599999999999991,1.3515961538461494,BE,19,1.5833333333333333
XRPUSDT,2022-09-22 08:00:00+00:00,2022-09-22 12:05:00+00:00,SHORT,0.4229,0.434,0.011099999999999999,-1.0114297297297297,SL,2,0.16666666666666666
XRPUSDT,2022-09-24 20:00:00+00:00,2022-09-25 12:40:00+00:00,SHORT,0.4975,0.5191,0.021600000000000008,-1.0069097222222223,SL,153,12.75
XRPUSDT,2022-10-05 20:00:00+00:00,2022-10-06 00:05:00+00:00,SHORT,0.4973,0.5023,0.004999999999999949,1.370162000000004,BE,2,0.16666666666666666
XRPUSDT,2022-10-07 20:00:00+00:00,2022-10-09 15:20:00+00:00,SHORT,0.5181,0.5339,0.015800000000000036,-1.0098373417721518,SL,473,39.416666666666664
XRPUSDT,2022-10-13 08:00:00+00:00,2022-10-13 12:30:00+00:00,LONG,0.4549,0.4506,0.004300000000000026,1.368262790697672,BE,7,0.5833333333333333
XRPUSDT,2022-10-19 12:00:00+00:00,2022-10-19 16:05:00+00:00,LONG,0.4541,0.4518,0.0023000000000000242,1.3407695652174016,BE,2,0.16666666666666666
XRPUSDT,2022-10-20 20:00:00+00:00,2022-10-22 16:35:00+00:00,LONG,0.4378,0.4202,0.017600000000000005,1.3925374999999995,BE,488,40.666666666666664
XRPUSDT,2022-11-08 20:00:00+00:00,2022-11-09 21:25:00+00:00,LONG,0.3928,0.3292,0.06359999999999999,-1.0018528301886793,SL,258,21.5
