symbol,tp_r,mfe1_r,lock1_r,mfe2_r,lock2_r,mfe3_r,lock3_r,resolution,cap_lock_by_mfe,total_r,delta_vs_tp_only,delta_vs_stage1,delta_vs_two_stage,win_pct,max_dd_r,avg_hold_h
BTCUSDT,8.0,0.5,1.0,1.25,3.0,5.0,3.5,5m,1,218.5374,2.1394,95.1394,0.5,59.51,9.7927,3.32
BTCUSDT,8.0,0.5,1.0,1.25,3.0,5.0,4.0,5m,1,220.0374,3.6394,96.6394,2.0,59.51,9.7927,3.3
BTCUSDT,8.0,0.5,1.0,1.25,3.0,5.0,4.5,5m,1,219.0374,2.6394,95.6394,1.0,59.51,9.7927,3.27
BTCUSDT,8.0,0.5,1.0,1.25,3.0,5.0,5.0,5m,1,220.0374,3.6394,96.6394,2.0,59.51,9.7927,3.25
BTCUSDT,8.0,0.5,1.0,1.25,3.0,5.0,5.5,5m,1,226.3997,10.0017,103.0017,8.3623,59.51,9.7927,3.24
BTCUSDT,8.0,0.5,1.0,1.25,3.0,5.0,6.0,5m,1,230.1935,13.7955,106.7955,12.1561,59.51,9.7927,3.24
BTCUSDT,8.0,0.5,1.0,1.25,3.0,5.5,3.5,5m,1,222.0374,5.6394,98.6394,4.0,59.51,9.7927,3.34
BTCUSDT,8.0,0.5,1.0,1.25,3.0,5.5,4.0,5m,1,218.0374,1.6394,94.6394,0.0,59.51,9.7927,3.32
BTCUSDT,8.0,0.5,1.0,1.25,3.0,5.5,4.5,5m,1,219.5374,3.1394,96.1394,1.5,59.51,9.7927,3.3
BTCUSDT,8.0,0.5,1.0,1.25,3.0,5.5,5.0,5m,1,216.0374,-0.3606,92.6394,-2.0,59.51,9.7927,3.26
BTCUSDT,8.0,0.5,1.0,1.25,3.0,5.5,5.5,5m,1,223.0374,6.6394,99.6394,5.0,59.51,9.7927,3.25
BTCUSDT,8.0,0.5,1.0,1.25,3.0,5.5,6.0,5m,1,227.8254,11.4274,104.4274,9.788,59.51,9.7927,3.25
SOLUSDT,8.0,0.5,1.0,1.25,3.0,4.0,3.5,5m,1,213.9592,59.7022,59.7022,2.5,59.05,8.4122,1.92
SOLUSDT,8.0,0.5,1.0,1.25,3.0,4.0,4.0,5m,1,213.4592,59.2022,59.2022,2.0,59.05,8.4122,1.85
SOLUSDT,8.0,0.5,1.0,1.25,3.0,4.0,4.5,5m,1,220.384,66.1271,66.1271,8.9249,59.05,8.4122,1.83
SOLUSDT,8.0,0.5,1.0,1.25,3.0,4.0,5.0,5m,1,224.8786,70.6217,70.6217,13.4194,59.05,8.4122,1.83
SOLUSDT,8.0,0.5,1.0,1.25,3.0,4.0,5.5,5m,1,227.994,73.7371,73.7371,16.5348,59.05,8.4122,1.83
SOLUSDT,8.0,0.5,1.0,1.25,3.0,4.0,6.0,5m,1,230.1857,75.9288,75.9288,18.7266,59.05,8.4122,1.82
SOLUSDT,8.0,0.5,1.0,1.25,3.0,4.5,3.5,5m,1,212.9592,58.7022,58.7022,1.5,59.05,8.4122,1.92
SOLUSDT,8.0,0.5,1.0,1.25,3.0,4.5,4.0,5m,1,211.4592,57.2022,57.2022,0.0,59.05,8.4122,1.87
SOLUSDT,8.0,0.5,1.0,1.25,3.0,4.5,4.5,5m,1,218.9592,64.7022,64.7022,7.5,59.05,8.4122,1.83
SOLUSDT,8.0,0.5,1.0,1.25,3.0,4.5,5.0,5m,1,224.7499,70.493,70.493,13.2907,59.05,8.4122,1.83
SOLUSDT,8.0,0.5,1.0,1.25,3.0,4.5,5.5,5m,1,227.8653,73.6084,73.6084,16.4061,59.05,8.4122,1.83
