symbol,entry_ts,exit_ts,side,entry_price,stop_init,risk_price,pnl_r,reason,hold_5m_bars,hold_hours
DOGEUSDT,2021-07-05 12:00:00+00:00,2021-07-05 16:25:00+00:00,LONG,0.2277,0.22509,0.002610000000000001,1.3738275862068923,BE,6,0.5
DOGEUSDT,2021-07-08 04:00:00+00:00,2021-07-08 08:05:00+00:00,LONG,0.2193,0.21173,0.007569999999999993,-1.0086908850726553,SL,2,0.16666666666666666
DOGEUSDT,2021-07-12 20:00:00+00:00,2021-07-13 00:05:00+00:00,LONG,0.2055,0.20377,0.0017299999999999816,1.3643641618497138,BE,2,0.16666666666666666
DOGEUSDT,2021-07-13 12:00:00+00:00,2021-07-13 18:30:00+00:00,LONG,0.20323,0.2004,0.002829999999999999,-1.021543816254417,SL,31,2.583333333333333
DOGEUSDT,2021-07-15 12:00:00+00:00,2021-07-15 16:00:00+00:00,LONG,0.1902,0.18901,0.0011899999999999966,-1.047949579831933,SL,1,0.08333333333333333
DOGEUSDT,2021-07-21 16:00:00+00:00,2021-07-21 20:00:00+00:00,SHORT,0.20144,0.20208,0.0006400000000000017,7.905575000000001,TP,1,0.08333333333333333
DOGEUSDT,2021-07-26 04:00:00+00:00,2021-07-26 09:00:00+00:00,SHORT,0.2243,0.22598,0.001679999999999987,1.3599464285714349,BE,13,1.0833333333333333
DOGEUSDT,2021-08-01 04:00:00+00:00,2021-08-01 11:25:00+00:00,SHORT,0.21678,0.218,0.0012199999999999989,5.4466934426229505,BE,42,3.5
DOGEUSDT,2021-08-07 04:00:00+00:00,2021-08-07 08:00:00+00:00,SHORT,0.21524,0.2153,6.0000000000004494e-05,6.923800000000081,TP,1,0.08333333333333333
DOGEUSDT,2021-08-10 20:00:00+00:00,2021-08-11 01:30:00+00:00,SHORT,0.25296,0.26099,0.008029999999999982,-1.0094505603985056,SL,19,1.5833333333333333
DOGEUSDT,2021-08-12 04:00:00+00:00,2021-08-12 08:15:00+00:00,SHORT,0.28715,0.2955,0.008349999999999969,1.3896832335329368,BE,4,0.3333333333333333
DOGEUSDT,2021-08-14 16:00:00+00:00,2021-08-15 01:15:00+00:00,SHORT,0.29088,0.29936,0.008479999999999988,-1.010290566037736,SL,64,5.333333333333333
DOGEUSDT,2021-08-15 12:00:00+00:00,2021-08-15 18:10:00+00:00,SHORT,0.29993,0.31315,0.01322000000000001,-1.006806278366112,SL,27,2.25
DOGEUSDT,2021-08-17 04:00:00+00:00,2021-08-17 22:30:00+00:00,SHORT,0.32848,0.35099,0.02251000000000003,1.3956222123500666,BE,175,14.583333333333332
DOGEUSDT,2021-09-07 16:00:00+00:00,2021-09-20 12:25:00+00:00,LONG,0.25173,0.20225,0.049479999999999996,-1.0015262530315279,SL,3654,304.5
DOGEUSDT,2021-09-21 20:00:00+00:00,2021-09-22 00:00:00+00:00,LONG,0.20872,0.20475,0.003970000000000001,-1.0157722921914358,SL,1,0.08333333333333333
DOGEUSDT,2021-10-01 12:00:00+00:00,2021-10-01 16:00:00+00:00,SHORT,0.21702,0.21725,0.00023000000000000798,7.716930434782618,TP,1,0.08333333333333333
