symbol,n_trades,n_chunks_with_trades,baseline_total_r,managed_total_r,baseline_delta_r,win_pct,max_dd_r,avg_hold_h
BTCUSDT,335,49,353.4793736611657,259.97937366116594,-93.49999999999977,51.64179104477612,23.194073380067273,6.947014925373135
ETHUSDT,333,50,469.0907464676328,245.9907464676326,-223.10000000000022,46.846846846846844,27.19281543885451,5.687937937937937
XRPUSDT,244,43,377.3985905437165,273.09859054371657,-104.29999999999995,55.32786885245902,8.516743654761305,22.73838797814208
SOLUSDT,356,49,254.2483373288918,307.34833732889183,53.10000000000002,52.52808988764045,12.927742349777134,10.347378277153558
LINKUSDT,317,45,215.94557048281976,221.24557048281974,5.299999999999983,49.52681388012618,12.540950447137902,14.693217665615142
